L,a,b,term
51.57,55.2,68.32,ED
61.7,-46.97,64.65,IN
20.54,7.63,-35.92,LU
81.35,-10.94,87.9,DA
81.35,18.74,-12.74,EL
81.35,-0.05,0.06,ED
61.7,46.38,35.47,NG
20.54,-1.74,11.57,LU
61.7,49.38,2.78,ED
91.08,-5.25,45.24,DA
41.22,-24.01,-14.24,LU
91.08,5.21,7.67,EL
61.7,40.07,-3.44,ED
51.57,29.45,64.44,IN
71.6,-40.28,53.23,DA
71.6,38.22,29.22,DA
20.54,-26.87,1.22,IN
61.7,2.64,-39.49,LU
41.22,52.58,-0.05,ED
41.22,-38.39,31.53,IN
61.7,-29.22,-21.27,IN
30.77,52.68,34.06,ED
61.7,-1.4,71.61,DA
91.08,5.44,1.5,EL
20.54,-17.35,7.46,NG
61.7,14.45,76.93,DA
71.6,-22.32,-14.67,IN
91.08,-12.29,10.56,EL
30.77,46.93,-2.51,ED
41.22,-33.18,41.15,IN
61.7,-33.16,-16.42,IN
81.35,21.06,22.4,DA
30.77,-22.84,-15.29,IN
81.35,9.68,-11.26,EL
30.77,46.08,20.6,ED
71.6,32.18,12.57,ED
41.22,-2.09,-40.81,IN
51.57,59.69,1.53,ED
91.08,1.28,14.41,EL
81.35,5.82,-13.42,EL
20.54,36.82,3.13,LU
41.22,-53.43,8.61,IN
81.35,-13.22,-11.59,EL
20.54,-16.46,11.28,NG
51.57,40.53,69.04,ED
51.57,-32.36,-17.71,LU
81.35,21.03,-9.69,EL
30.77,-0.02,0.03,NG
61.7,-30.13,65.11,DA
71.6,-39.21,-4.56,DA
91.08,-0.46,29.79,EL
81.35,22.67,17.48,EL
51.57,-52.87,15.46,LU
71.6,38.97,-10.98,ED
20.54,-4.47,9.36,NG
15.6,-0.02,0.02,NG
20.54,-15.07,-7.11,NG
71.6,-24.87,85.15,DA
91.08,3.14,12.37,EL
41.22,-21.08,-28.21,LU
20.54,3.62,11.09,NG
91.08,-13.24,5.48,EL
81.35,-3.69,100.18,IN
41.22,61.4,17.92,ED
30.77,46.25,-9.51,ED
71.6,6.06,-22.71,EL
71.6,-14.22,-19.9,LU
41.22,36.48,-25.75,IN
91.08,-12.17,45.9,DA
91.08,3.36,-4.24,EL
91.08,-12.69,1.23,EL
41.22,20.81,-48.05,RA
71.6,15.62,90.72,DA
30.77,-13.04,21.97,NG
51.57,59.79,10.72,ED
20.54,-0.11,12.03,NG
30.77,-25.67,-10.89,NG
30.77,47.34,12.58,ED
81.35,-10.44,-12.79,EL
20.54,13.28,18.21,NG
71.6,40.04,-2.7,DA
61.7,-51.88,5.51,RA
91.08,1.12,-5.38,EL
61.7,49.15,56.82,ED
41.22,-53.57,23.28,LU
81.35,-30.49,65.57,DA
61.7,44.69,79.79,ED
20.54,-17.18,-1.47,NG
81.35,-17.25,87.99,DA
91.08,5.53,2.22,EL
30.77,-6.44,26.57,NG
30.77,39.78,-27.99,LU
41.22,51.06,58.81,ED
41.22,49.84,-17.34,ED
61.7,-36.77,-10.9,RA
30.77,-23.96,27.29,NG
71.6,-12.05,-29.46,LU
81.35,8.19,-12.62,EL
30.77,-7.86,-33.8,LU
96,-0.06,0.06,EL
81.35,3.22,-14.27,EL
71.6,-34.49,79.15,RA
20.54,23.12,-31.33,LU
71.6,-41.54,5.41,IN
71.6,-2.3,85.64,DA
61.7,-41.11,0.19,RA
41.22,59.5,30.17,ED
81.35,-38.45,34.02,LU
20.54,29.26,-25.01,NG
71.6,31.7,17.23,DA
71.6,26.62,-18.32,DA
61.7,-13.07,-37.55,IN
41.22,-0.03,0.03,NG
30.77,3.1,25.71,NG
41.22,-52.68,3.36,LU
30.77,13.89,33.8,NG
91.08,-0.37,-5.58,EL
81.35,14.98,47.04,DA
71.6,-41.85,9.77,IN
41.22,61.57,8.63,ED
41.22,-36.33,-13.61,LU
71.6,13.67,-19.66,LU
30.77,-49.93,6.94,IN
51.57,-15.72,-29.08,IN
20.54,-13.39,-9.92,NG
41.22,-19.48,36.56,NG
91.08,-1.49,-5.61,EL
61.7,49.67,10.71,ED
81.35,15.1,90.21,DA
81.35,-16.44,-9.33,LU
61.7,48.53,25.92,ED
91.08,-16.65,44.66,DA
30.77,0.29,-43.03,NG
20.54,35.15,15.44,ED
61.7,-52.22,16.26,LU
61.7,5.87,68.59,RA
20.54,36.42,-2.08,ED
41.22,33.08,-30.5,LU
71.6,-25.13,-11.03,LU
71.6,24.12,84.39,DA
51.57,-21.72,-26.63,IN
81.35,-5.05,-23.28,EL
41.22,-39.09,-8.33,LU
71.6,-15.98,87.62,DA
20.54,36.64,9.24,ED
51.57,-40.14,52.84,LU
81.35,-32.18,1.81,LU
61.7,23.29,-23.79,LU
20.54,-3.09,10.75,NG
91.08,-13.13,7.63,LU
71.6,-18.37,-18.07,LU
81.35,23.18,13.11,ED
51.57,-63.28,28.95,LU
51.57,48.98,-15.95,ED
20.54,10.16,21.44,NG
41.22,24.29,-38.02,NG
91.08,-10.76,13.38,EL
51.57,51.2,-5.84,ED
30.77,-27.32,-6.72,NG
20.54,25.15,16.6,ED
61.7,-22.98,-25.73,LU
71.6,32.89,77.02,DA
81.35,-26.04,85.63,IN
30.77,-10.05,24.97,NG
81.35,23.67,9.47,DA
61.7,-14.02,73.17,RA
91.08,-12.96,2.42,EL
51.57,14.19,-39.14,IN
91.08,-10.86,-2.13,EL
51.57,-51.99,4.46,LU
91.08,5.04,-1.14,EL
51.57,-6.4,58.71,LU
20.54,-5.36,7.98,NG
20.54,-5.25,-25.49,NG
81.35,-33.63,8.67,LU
91.08,5.51,3.28,EL
51.57,35.21,-24.66,IN
41.22,-0.21,42.37,NG
61.7,9.58,-30.64,NG
41.22,-54.08,14.27,LU
51.57,-36.19,-11.99,LU
71.6,32.47,2.76,ED
30.77,28.16,36.05,ED
91.08,4.31,-2.82,EL
91.08,-9.03,45.94,DA
20.54,35.97,-6.33,NG
91.08,-6.32,-5.08,EL
41.22,56.6,40.99,ED
61.7,-39.17,-5.88,LU
20.54,-14.85,15.25,NG
30.77,-29.07,-1.92,NG
20.54,26.82,-27.84,IN
81.35,-42.41,23.78,LU
91.08,5.41,0.74,EL
71.6,-40.91,1.15,LU
20.54,1.58,11.89,NG
61.7,49.42,18.23,ED
71.6,-9.51,87.14,DA
30.77,40.89,36.03,ED
91.08,-14.67,29.61,EL
91.08,2.95,-4.85,EL
81.35,-6.82,-13.92,LU
30.77,-39.23,16.6,IN
41.22,32.37,46.62,ED
71.6,-51.55,27.69,LU
61.7,22.09,71.31,DA
20.54,-27.43,4.26,NG
91.08,-3.48,-5.55,EL
61.7,34.47,-24.03,IN
91.08,-0.05,0.06,EL
41.22,51.84,-8.08,ED
30.77,-15.41,-22,LU
71.6,34.96,37.54,ED
51.57,-25.02,50.55,LU
41.22,-41.21,-2.07,LU
