L,a,b,term
61.7,-4.52,-39.18,LB
81.35,-19.64,-4.3,LB
51.57,55.2,68.32,LE
20.54,24.14,-14.33,WK
81.35,-33.04,4.96,LF
81.35,14.87,30.96,LE
61.7,-46.97,64.65,F
30.77,47.63,5.24,LE
41.22,22.15,41.13,LE
20.54,7.63,-35.92,LB
20.54,-16.13,-4.67,LB
81.35,-10.94,87.9,F
20.54,-27.79,7.33,LB
20.54,-9.52,-13.99,LB
81.35,18.74,-12.74,LF
81.35,-0.05,0.06,LF
61.7,46.38,35.47,LE
20.54,-1.74,11.57,LB
61.7,-16.81,-28.31,LF
51.57,-56.86,49.22,LB
61.7,49.38,2.78,LE
91.08,-5.25,45.24,LF
51.57,31.24,-29.94,LF
30.77,-0.15,26.58,LB
41.22,-24.01,-14.24,LB
30.77,7.86,-43.39,LB
91.08,5.21,7.67,LB
61.7,40.07,-3.44,LF
71.6,-41.95,14.43,LE
51.57,29.45,64.44,LB
81.35,-18.27,-7.01,LE
61.7,37.1,-18.34,LF
71.6,-40.28,53.23,LE
51.57,-11.88,-38.56,LB
71.6,38.22,29.22,LB
20.54,-26.87,1.22,LE
61.7,2.64,-39.49,LB
41.22,52.58,-0.05,LB
41.22,-38.39,31.53,LE
61.7,-29.22,-21.27,LB
30.77,52.68,34.06,LB
61.7,-1.4,71.61,LE
20.54,0.11,-26.61,F
91.08,5.44,1.5,LB
61.7,-51.58,26.3,LF
51.57,-0.03,0.04,LB
20.54,-17.35,7.46,LF
61.7,14.45,76.93,LB
71.6,-22.32,-14.67,LE
20.54,22.74,-16.65,LB
30.77,9.51,37.16,F
91.08,-12.29,10.56,LF
30.77,46.93,-2.51,LE
41.22,-33.18,41.15,LB
61.7,-33.16,-16.42,LB
81.35,21.06,22.4,LE
30.77,-22.84,-15.29,LB
51.57,-0.48,57.27,F
81.35,9.68,-11.26,LF
20.54,-11.72,-12.03,LB
30.77,46.08,20.6,LE
61.7,15.28,-29.05,F
71.6,32.18,12.57,LE
41.22,-2.09,-40.81,LB
51.57,59.69,1.53,LE
91.08,1.28,14.41,LF
81.35,-33.8,12.41,F
61.7,38.67,-11.63,LE
41.22,-9.31,43.05,F
81.35,5.82,-13.42,LF
20.54,36.82,3.13,F
41.22,-53.43,8.61,F
30.77,36.9,-32.14,F
81.35,-13.22,-11.59,LF
20.54,-16.46,11.28,LB
51.57,40.53,69.04,LE
51.57,-32.36,-17.71,LB
81.35,21.03,-9.69,LF
30.77,-0.02,0.03,F
41.22,-10.54,-39.65,LB
61.7,-30.13,65.11,F
71.6,-39.21,-4.56,LB
91.08,-0.46,29.79,LF
81.35,22.67,17.48,LE
51.57,-52.87,15.46,LB
71.6,38.97,-10.98,LE
20.54,-4.47,9.36,LB
41.22,46.93,-24.7,LE
15.6,-0.02,0.02,LB
20.54,-15.07,-7.11,LB
71.6,-24.87,85.15,F
91.08,3.14,12.37,LF
41.22,-21.08,-28.21,LB
20.54,3.62,11.09,LB
91.08,-13.24,5.48,LF
81.35,-3.69,100.18,LE
30.77,28.36,-39.75,LB
41.22,61.4,17.92,LE
71.6,16.13,-17.52,LF
81.35,-21.19,-1.35,LF
30.77,46.25,-9.51,LE
71.6,6.06,-22.71,LF
41.22,-4.87,43.26,F
71.6,-14.22,-19.9,F
41.22,36.48,-25.75,LE
91.08,-12.17,45.9,LE
91.08,3.36,-4.24,LF
91.08,-12.69,1.23,LF
41.22,20.81,-48.05,LB
71.6,15.62,90.72,LE
30.77,-13.04,21.97,LB
51.57,59.79,10.72,LE
20.54,-0.11,12.03,LB
30.77,-25.67,-10.89,LB
30.77,47.34,12.58,LE
81.35,-10.44,-12.79,LF
20.54,13.28,18.21,LB
71.6,40.04,-2.7,LE
61.7,-51.88,5.51,F
91.08,1.12,-5.38,LF
61.7,49.15,56.82,LE
41.22,-53.57,23.28,LB
41.22,-20.46,-17.64,LB
81.35,-30.49,65.57,F
61.7,44.69,79.79,LE
71.6,32.41,7.97,LE
20.54,-17.18,-1.47,LB
81.35,-17.25,87.99,F
91.08,5.53,2.22,LF
30.77,-6.44,26.57,LB
30.77,39.78,-27.99,LE
41.22,51.06,58.81,LE
30.77,-39.62,10.61,LB
20.54,15.99,14.49,F
41.22,49.84,-17.34,LE
61.7,-36.77,-10.9,LB
30.77,-23.96,27.29,F
71.6,-12.05,-29.46,LF
81.35,8.19,-12.62,LF
30.77,-7.86,-33.8,LB
96,-0.06,0.06,LF
81.35,3.22,-14.27,LF
71.6,-34.49,79.15,F
20.54,23.12,-31.33,F
71.6,-41.54,5.41,F
71.6,-2.3,85.64,LE
61.7,-41.11,0.19,F
41.22,59.5,30.17,LE
81.35,-38.45,34.02,F
20.54,29.26,-25.01,LE
71.6,31.7,17.23,LE
71.6,26.62,-18.32,LE
61.7,-13.07,-37.55,F
41.22,-0.03,0.03,F
30.77,3.1,25.71,F
41.22,-52.68,3.36,LB
30.77,13.89,33.8,F
91.08,-0.37,-5.58,LF
81.35,14.98,47.04,LE
81.35,23.82,2.52,LE
71.6,-41.85,9.77,F
41.22,61.57,8.63,LE
41.22,-36.33,-13.61,LB
51.57,-3.41,-48.08,G
41.22,-14.57,40.52,F
20.54,-9.22,-24.04,LB
71.6,13.67,-19.66,LF
30.77,-49.93,6.94,LB
51.57,-15.72,-29.08,LB
20.54,-13.39,-9.92,LB
41.22,-19.48,36.56,WK
91.08,-1.49,-5.61,LF
61.7,49.67,10.71,LE
81.35,15.1,90.21,LE
81.35,-16.44,-9.33,LF
61.7,48.53,25.92,LE
91.08,-16.65,44.66,LF
30.77,0.29,-43.03,LB
20.54,35.15,15.44,WK
61.7,-52.22,16.26,G
61.7,5.87,68.59,WK
20.54,36.42,-2.08,G
41.22,4.42,40.43,WK
41.22,33.08,-30.5,G
51.57,19.79,58.75,WK
71.6,-25.13,-11.03,G
71.6,24.12,84.39,LE
51.57,-21.72,-26.63,LB
81.35,-5.05,-23.28,LF
81.35,23.53,-0.96,LE
