L,a,b,term
30.77,-39.18,2.14,C
91.08,5.43,5.64,N
30.77,42.44,-23.6,T
71.6,6.22,81.95,J
30.77,-27.26,20.69,C
41.22,17.04,45.95,L
51.57,55.2,68.32,J
20.54,24.14,-14.33,T
81.35,14.87,30.96,J
61.7,-46.97,64.65,C
41.22,22.15,41.13,J
20.54,-16.13,-4.67,C
81.35,-10.94,87.9,J
20.54,-27.79,7.33,C
81.35,-0.05,0.06,N
61.7,46.38,35.47,J
20.54,-1.74,11.57,NT
51.57,-56.86,49.22,C
91.08,-5.25,45.24,J
51.57,31.24,-29.94,T
30.77,-0.15,26.58,X
91.08,5.21,7.67,N
51.57,29.45,64.44,J
71.6,-40.28,53.23,C
71.6,38.22,29.22,J
20.54,-26.87,1.22,C
41.22,-38.39,31.53,C
30.77,52.68,34.06,WE
61.7,-1.4,71.61,J
91.08,5.44,1.5,N
61.7,-51.58,26.3,C
51.57,-0.03,0.04,X
20.54,-17.35,7.46,C
61.7,14.45,76.93,J
20.54,22.74,-16.65,T
30.77,9.51,37.16,L
41.22,-33.18,41.15,C
81.35,21.06,22.4,J
51.57,-0.48,57.27,J
81.35,9.68,-11.26,N
30.77,46.08,20.6,WE
91.08,1.28,14.41,N
41.22,-9.31,43.05,C
81.35,5.82,-13.42,N
41.22,-53.43,8.61,C
30.77,36.9,-32.14,T
20.54,-16.46,11.28,C
51.57,40.53,69.04,J
30.77,-0.02,0.03,X
61.7,-30.13,65.11,C
91.08,-0.46,29.79,J
51.57,-52.87,15.46,C
20.54,-4.47,9.36,X
15.6,-0.02,0.02,X
20.54,-15.07,-7.11,C
71.6,-24.87,85.15,C
91.08,3.14,12.37,N
20.54,3.62,11.09,X
81.35,-3.69,100.18,J
30.77,28.36,-39.75,T
30.77,46.25,-9.51,T
41.22,-4.87,43.26,W
41.22,36.48,-25.75,T
91.08,-12.17,45.9,J
91.08,3.36,-4.24,N
71.6,15.62,90.72,J
30.77,-13.04,21.97,C
20.54,-0.11,12.03,NT
30.77,-25.67,-10.89,C
30.77,47.34,12.58,WE
20.54,13.28,18.21,JU
91.08,1.12,-5.38,N
61.7,49.15,56.82,J
41.22,-53.57,23.28,C
81.35,-30.49,65.57,C
61.7,44.69,79.79,J
20.54,-17.18,-1.47,C
81.35,-17.25,87.99,J
91.08,5.53,2.22,N
30.77,-6.44,26.57,W
30.77,39.78,-27.99,T
41.22,51.06,58.81,WE
30.77,-39.62,10.61,C
20.54,15.99,14.49,X
30.77,-23.96,27.29,C
81.35,8.19,-12.62,N
96,-0.06,0.06,N
81.35,3.22,-14.27,N
71.6,-34.49,79.15,C
71.6,-2.3,85.64,J
41.22,59.5,30.17,WE
81.35,-38.45,34.02,C
20.54,29.26,-25.01,T
71.6,31.7,17.23,T1
41.22,-0.03,0.03,X
30.77,3.1,25.71,X
