81,-19,-4
51,55,68
20,24,-14
81,-33,4
81,14,30
61,-46,64
41,22,41
20,7,-35
20,-16,-4
81,-10,87
20,-27,7
81,18,-12
81,0,0
61,46,35
20,-1,11
51,-56,49
91,-5,45
51,31,-29
30,0,26
30,7,-43
71,-41,14
51,29,64
61,37,-18
71,-40,53
71,38,29
20,-26,1
41,-38,31
30,52,34
61,-1,71
61,-51,26
20,-17,7
61,14,76
20,22,-16
30,9,37
91,-12,10
41,-33,41
81,21,22
30,-22,-15
51,0,57
20,-11,-12
30,46,20
71,32,12
91,1,14
81,-33,12
41,-9,43
20,36,3
41,-53,8
30,36,-32
20,-16,11
51,40,69
30,0,0
61,-30,65
71,-39,-4
91,0,29
51,-52,15
20,-4,9
41,46,-24
15,0,0
20,-15,-7
71,-24,85
91,3,12
20,3,11
91,-13,5
81,-3,100
30,28,-39
41,61,17
71,16,-17
81,-21,-1
30,46,-9
41,-4,43
41,36,-25
91,-12,45
91,3,-4
91,-12,1
41,20,-48
71,15,90
30,-13,21
20,0,12
30,-25,-10
30,47,12
20,13,18
61,-51,5
91,1,-5
61,49,56
41,-53,23
81,-30,65
61,44,79
20,-17,-1
81,-17,87
91,5,2
30,-6,26
30,39,-27
41,51,58
30,-39,10
20,15,14
30,-23,27
96,0,0
81,3,-14
71,-34,79
20,23,-31
71,-41,5
71,-2,85
61,-41,0
41,59,30
81,-38,34
20,29,-25
30,3,25
41,-52,3
30,13,33
91,0,-5
81,14,47
71,-41,9
41,-14,40
20,-9,-24
30,-49,6
20,-13,-9
41,-19,36
91,-1,-5
61,49,10
81,15,90
91,-16,44
30,0,-43
20,35,15
61,-52,16
61,5,68
20,36,-2
41,4,40
41,33,-30
51,19,58
71,24,84
81,23,0
41,-39,-8
51,27,-33
71,-15,87
20,36,9
51,-40,52
61,23,-23
20,-3,10
91,-13,7
51,-63,28
20,10,21
41,24,-38
91,-10,13
51,13,63
30,-27,-6
20,25,16
71,32,77
71,10,-21
81,-26,85
30,-10,24
61,-14,73
51,14,-39
91,-10,-2
41,29,-34
51,-51,4
91,5,-1
51,-6,58
20,-5,7
81,-33,8
51,35,-24
41,0,42
41,-54,14
61,-21,70
81,18,26
30,28,36
91,4,-2
91,-9,45
20,35,-6
41,56,40
51,22,-37
20,-14,15
30,-29,-1
20,26,-27
81,-42,23
71,-40,1
20,1,11
71,-9,87
30,40,36
91,-14,29
61,29,64
91,2,-4
30,-39,16
41,32,46
20,35,-10
71,-51,27
61,22,71
20,-27,4
91,0,0
61,-7,73
71,34,37
30,25,-49
51,-25,50
41,-41,-2
61,-55,49
30,18,30
51,5,54
51,55,42
51,5,-48
91,-13,3
41,9,37
30,33,-35
81,7,109
51,-52,9
51,-51,-1
51,-18,55
20,34,-14
81,-40,54
30,-3,26
61,-52,10
20,0,0
20,23,-41
71,-46,41
51,-38,-7
71,30,44
51,-11,58
30,-39,2
30,42,-23
71,6,81
30,-27,20
41,17,45
30,47,5
20,-9,-13
20,0,-26
51,0,0
30,46,-2
61,15,-29
41,-2,-40
51,59,1
81,5,-13
41,-10,-39
41,-21,-28
71,6,-22
41,49,-17
30,-7,-33
71,26,-18
41,0,0
41,61,8
41,-36,-13
71,13,-19
61,48,25
51,48,-15
71,29,-13
30,-19,-18
20,-5,-25
61,9,-30
41,7,-48
51,-36,-11
61,-39,-5
30,-10,-24
61,0,0
51,46,-23
91,-3,-5
61,34,-24
41,51,-8
30,-15,-22
91,-9,-3
71,-27,-7
91,4,10
91,-4,-5
51,58,30
91,5,4
61,20,-26
41,-14,-30
91,5,0
30,44,-16
51,59,19
91,5,5
91,5,7
91,5,1
81,9,-11
81,8,-12
71,31,17
81,23,9
91,5,3
81,22,-5
81,23,6
71,0,0
61,-4,-39
61,2,-39
41,-20,-17
71,-12,-29
61,-13,-37
51,-3,-48
61,-22,-25
71,0,-31
81,-6,-13
81,0,-24
71,-5,-30
91,-7,-4
41,-24,-14
51,-11,-38
81,22,17
81,-5,-23
81,23,13
91,-12,2
91,-11,0
71,38,-10
71,40,-2
71,32,2
61,49,18
41,52,0
51,59,10
51,-21,-26
51,-27,-22
61,-16,-28
51,-32,-17
61,-36,-10
61,40,-3
61,-29,-21
61,38,-11
71,-14,-19
81,23,2
71,-25,-11
71,-18,-18
51,51,-5
91,-6,-5
61,-33,-16
81,21,-9
81,-10,-12
51,-15,-29
81,-32,1
71,32,7
61,49,2
81,-13,-11
81,-18,-7
81,-16,-9
71,-22,-14
